Time,date,hour,hour_sin,hour_cos,day_of_year,doy_sin,doy_cos,Diffus_kW,Global0_kW,Global45_kW,Global60_kW,Global30_kW,ClearSky0_kW
2023-01-10 20:00:00,2023-01-10,20,-0.8660254037844393,0.4999999999999989,10,0.1683550303936012,0.985726424390241,-0.003,-0.00263,-0.00161,-0.00157,-0.0028399999999999,
2023-01-10 20:15:00,2023-01-10,20,-0.8314696123025487,0.5555702330195971,10,0.1685316655223286,0.9856962400842716,-0.0028799999999999,-0.00233,-0.00121,-0.00114,-0.00241,
2023-01-10 20:30:00,2023-01-10,20,-0.7933533402912333,0.6087614290087231,10,0.1687082952393255,0.98566602412655,-0.00297,-0.00228,-0.00129,-0.00114,-0.00237,
2023-01-10 20:45:00,2023-01-10,20,-0.7518398074789786,0.6593458151000674,10,0.16888491953892,0.9856357765180463,-0.0028799999999999,-0.00232,-0.00132,-0.00115,-0.0025299999999999,
2023-01-10 21:00:00,2023-01-10,21,-0.7071067811865523,0.7071067811865427,10,0.1690615384154405,0.9856054972597325,-0.00293,-0.00241,-0.00127,-0.00101,-0.00234,
2023-01-10 21:15:00,2023-01-10,21,-0.6593458151000724,0.7518398074789743,10,0.1692381518632156,0.9855751863525802,-0.00329,-0.0019199999999999,-0.000876,-0.000688,-0.00196,
2023-01-10 21:30:00,2023-01-10,21,-0.6087614290087227,0.7933533402912336,10,0.1694147598765742,0.9855448437975628,-0.00275,-0.00218,-0.00117,-0.000822,-0.00214,
2023-01-10 21:45:00,2023-01-10,21,-0.5555702330196026,0.831469612302545,10,0.169591362449845,0.985514469595655,-0.00275,-0.00224,-0.0014299999999999,-0.000902,-0.00229,
2023-01-10 22:00:00,2023-01-10,22,-0.5000000000000047,0.8660254037844359,10,0.1697679595773573,0.985484063747832,-0.00292,-0.00244,-0.00149,-0.0013,-0.00244,
2023-01-10 22:15:00,2023-01-10,22,-0.4422886902189978,0.89687274153269,10,0.1699445512534402,0.9854536262550698,-0.00276,-0.0022,-0.00125,-0.00065,-0.00202,
2023-01-10 22:30:00,2023-01-10,22,-0.3826834323650908,0.9238795325112864,10,0.1701211374724233,0.9854231571183462,-0.00299,-0.0025,-0.00158,-0.0012,-0.00273,
2023-01-10 22:45:00,2023-01-10,22,-0.3214394653031673,0.9469301294951036,10,0.1702977182286361,0.9853926563386396,-0.0029,-0.00224,-0.00148,-0.000765,-0.0020099999999999,
2023-01-10 23:00:00,2023-01-10,23,-0.2588190451025245,0.9659258262890672,10,0.1704742935164085,0.985362123916929,-0.00311,-0.00261,-0.0018,-0.00126,-0.00281,
2023-01-10 23:15:00,2023-01-10,23,-0.19509032201613,0.98078528040323,10,0.1706508633300706,0.9853315598541952,-0.00342,-0.00298,-0.00202,-0.00153,-0.00326,
2023-01-10 23:30:00,2023-01-10,23,-0.1305261922200512,0.9914448613738104,10,0.1708274276639523,0.9853009641514195,-0.00337,-0.00262,-0.00147,-0.0014,-0.00285,
2023-01-10 23:45:00,2023-01-10,23,-0.0654031292301476,0.9978589232386031,10,0.171003986512384,0.9852703368095846,-0.00285,-0.00227,-0.00135,-0.00105,-0.00247,
2023-03-11 00:00:00,2023-03-11,0,-6.66381173314405e-14,1.0,70,0.92724667319331,0.3744510743100344,-0.000893,-0.00095,-0.000334,-0.000466,-0.000527,
2023-03-11 00:15:00,2023-03-11,0,0.0654031292301212,0.9978589232386048,70,0.927313758288412,0.3742849097799968,0.000463,0.000564,-0.000279,-4.97e-05,-0.000626,
2023-03-11 00:30:00,2023-03-11,0,0.1305261922200179,0.9914448613738148,70,0.9273808136064856,0.3741187332312739,0.00121,0.00129,-0.000262,3.82e-05,-0.000548,
2023-03-11 00:45:00,2023-03-11,0,0.1950903220161389,0.9807852804032284,70,0.927447839145377,0.3739525446692013,0.00012,0.000223,-0.000193,-7.65e-05,-0.000261,
2023-03-11 01:00:00,2023-03-11,1,0.2588190451025196,0.9659258262890686,70,0.9275148349029344,0.3737863440991157,-0.00115,-0.00108,-0.000234,-0.000336,-0.00042,
2023-03-11 01:15:00,2023-03-11,1,0.3214394653030952,0.9469301294951282,70,0.927581800877006,0.3736201315263542,-0.000513,-0.000454,-0.000221,-0.000226,-0.000596,
2023-03-11 01:30:00,2023-03-11,1,0.3826834323650663,0.9238795325112964,70,0.9276487370654422,0.3734539069562537,-6.2e-05,-4.61e-05,-0.000314,-0.000279,-0.00072,
2023-03-11 01:45:00,2023-03-11,1,0.4422886902189677,0.8968727415327049,70,0.9277156434660928,0.3732876703941521,-0.000778,-0.000635,-0.000548,-0.000478,-0.000827,
2023-03-11 02:00:00,2023-03-11,2,0.5000000000000063,0.8660254037844349,70,0.9277825200768102,0.3731214218453872,-0.00197,-0.00173,-0.001,-0.001,-0.0016,
2023-03-11 02:15:00,2023-03-11,2,0.5555702330195983,0.8314696123025479,70,0.9278493668954462,0.3729551613152978,-0.00198,-0.00163,-0.000996,-0.000979,-0.00161,
2023-03-11 02:30:00,2023-03-11,2,0.6087614290086623,0.79335334029128,70,0.9279161839198544,0.3727888888092222,-0.0016,-0.00128,-0.000862,-0.000799,-0.0011899999999999,
2023-03-11 02:45:00,2023-03-11,2,0.6593458151000472,0.7518398074789964,70,0.9279829711478896,0.3726226043324998,-0.00154,-0.00123,-0.000807,-0.000726,-0.00115,
2023-03-11 03:00:00,2023-03-11,3,0.7071067811865186,0.7071067811865764,70,0.9280497285774072,0.3724563078904705,-0.00177,-0.0014299999999999,-0.000896,-0.00078,-0.00123,
2023-03-11 03:15:00,2023-03-11,3,0.7518398074789799,0.659345815100066,70,0.928116456206263,0.3722899994884737,0.000554,0.000688,3.1e-05,0.000248,0.000137,
2023-03-11 03:30:00,2023-03-11,3,0.7933533402912302,0.6087614290087271,70,0.9281831540323148,0.3721236791318503,-4.55e-05,1.42e-05,-2.4100000000000003e-05,9.94e-05,0.000103,
2023-03-11 03:45:00,2023-03-11,3,0.8314696123025656,0.5555702330195719,70,0.9282498220534208,0.3719573468259404,-0.000579,-0.000262,2.07e-05,0.000214,0.00015,
2023-03-11 04:00:00,2023-03-11,4,0.8660254037844225,0.500000000000028,70,0.9283164602674396,0.3717910025760857,-0.000893,-0.000699,-0.000376,-0.000279,-0.000398,
2023-03-11 04:15:00,2023-03-11,4,0.8968727415326687,0.4422886902190411,70,0.9283830686722324,0.3716246463876272,-0.00173,-0.00145,-0.000986,-0.00091,-0.00151,
2023-03-11 04:30:00,2023-03-11,4,0.9238795325112868,0.3826834323650894,70,0.9284496472656596,0.371458278265907,-0.00174,-0.0015,-0.000972,-0.000982,-0.00174,
2023-03-11 04:45:00,2023-03-11,4,0.946930129495102,0.3214394653031726,70,0.9285161960455836,0.3712918982162677,-0.00183,-0.00156,-0.00101,-0.001,-0.00173,
2023-03-11 05:00:00,2023-03-11,5,0.9659258262890767,0.2588190451024888,70,0.9285827150098674,0.3711255062440512,-0.00184,-0.00154,-0.000924,-0.000925,-0.00164,
2023-03-11 05:15:00,2023-03-11,5,0.9807852804032234,0.1950903220161634,70,0.9286492041563748,0.3709591023546012,-0.000521,-0.00034,-0.000141,-7.259999999999999e-05,-0.000253,
2023-03-11 05:30:00,2023-03-11,5,0.9914448613738042,0.130526192220099,70,0.9287156634829712,0.3707926865532608,-0.000447,-0.000184,9.65e-05,6.5e-05,-0.000227,
2023-03-11 05:45:00,2023-03-11,5,0.9978589232386031,0.0654031292301461,70,0.928782092987522,0.3706262588453737,0.0038399999999999,0.0040599999999999,0.00373,0.00333,0.00373,
2023-03-11 06:00:00,2023-03-11,6,1.0,1.5185001328790593e-14,70,0.9288484926678944,0.3704598192362841,0.0213,0.0213,0.021,0.0189,0.021,
2023-03-11 06:15:00,2023-03-11,6,0.9978589232386016,-0.0654031292301726,70,0.9289148625219564,0.3702933677313367,0.034,0.0337,0.029,0.0256,0.0306,
2023-03-11 06:30:00,2023-03-11,6,0.9914448613738156,-0.1305261922200126,70,0.9289812025475762,0.3701269043358765,0.0472,0.0465,0.0433,0.0384,0.0455,
2023-03-11 06:45:00,2023-03-11,6,0.9807852804032404,-0.1950903220160778,70,0.929047512742624,0.3699604290552487,0.0785999999999999,0.0772,0.0683,0.0608999999999999,0.0716,
2023-03-11 07:00:00,2023-03-11,7,0.96592582628907,-0.2588190451025143,70,0.9291137931049708,0.3697939418947988,0.113,0.111,0.0963,0.0843,0.102,
2023-03-11 07:15:00,2023-03-11,7,0.9469301294951116,-0.3214394653031439,70,0.9291800436324872,0.3696274428598733,0.189,0.201,0.203,0.177,0.203,
2023-03-11 07:30:00,2023-03-11,7,0.9238795325112767,-0.3826834323651139,70,0.929246264323047,0.3694609319558182,0.216,0.359,0.461,0.406,0.44,
2023-03-11 07:45:00,2023-03-11,7,0.8968727415327072,-0.4422886902189629,70,0.9293124551745232,0.3692944091879805,0.163,0.347,0.487,0.437,0.461,
2023-03-11 08:00:00,2023-03-11,8,0.8660254037844377,-0.5000000000000017,70,0.9293786161847906,0.3691278745617076,0.131,0.409,0.606,0.55,0.568,
2023-03-11 08:15:00,2023-03-11,8,0.8314696123025509,-0.5555702330195939,70,0.9294447473517244,0.3689613280823471,0.146,0.457,0.67,0.613,0.63,
2023-03-11 08:30:00,2023-03-11,8,0.7933533402912487,-0.608761429008703,70,0.929510848673201,0.368794769755247,0.212,0.433,0.602,0.554,0.573,
2023-03-11 08:45:00,2023-03-11,8,0.7518398074789625,-0.6593458151000858,70,0.9295769201470984,0.3686281995857552,0.323,0.384,0.47,0.429,0.462,
2023-03-11 09:00:00,2023-03-11,9,0.7071067811865802,-0.7071067811865148,70,0.929642961771294,0.3684616175792211,0.392,0.532,0.646,0.593,0.629,
2023-03-11 09:15:00,2023-03-11,9,0.6593458151000701,-0.7518398074789764,70,0.9297089735436682,0.3682950237409932,0.362,0.373,0.407,0.37,0.4,
2023-03-11 09:30:00,2023-03-11,9,0.6087614290087314,-0.7933533402912268,70,0.9297749554621008,0.3681284180764214,0.317,0.312,0.299,0.268,0.306,
2023-03-11 09:45:00,2023-03-11,9,0.5555702330196236,-0.831469612302531,70,0.9298409075244728,0.3679618005908557,0.371,0.367,0.382,0.352,0.387,
2023-03-11 10:00:00,2023-03-11,10,0.4999999999999834,-0.8660254037844483,70,0.929906829728667,0.3677951712896459,0.425,0.426,0.442,0.404,0.449,
2023-03-11 10:15:00,2023-03-11,10,0.4422886902190459,-0.8968727415326663,70,0.929972722072566,0.3676285301781432,0.292,0.288,0.274,0.248,0.281,
2023-03-11 10:30:00,2023-03-11,10,0.3826834323650944,-0.9238795325112849,70,0.9300385845540544,0.367461877261698,0.371,0.39,0.393,0.356,0.401,
2023-03-11 10:45:00,2023-03-11,10,0.3214394653031777,-0.9469301294951,70,0.9301044171710168,0.3672952125456624,0.332,0.328,0.3,0.266,0.311,
2023-03-11 11:00:00,2023-03-11,11,0.2588190451025489,-0.9659258262890608,70,0.9301702199213394,0.3671285360353877,0.318,0.313,0.278,0.245,0.29,
2023-03-11 11:15:00,2023-03-11,11,0.1950903220161129,-0.9807852804032337,70,0.9302359928029096,0.3669618477362258,0.312,0.309,0.272,0.24,0.284,
2023-03-11 11:30:00,2023-03-11,11,0.1305261922201044,-0.9914448613738036,70,0.930301735813615,0.36679514765353,0.329,0.336,0.326,0.296,0.333,
2023-03-11 11:45:00,2023-03-11,11,0.0654031292301515,-0.9978589232386028,70,0.9303674489513446,0.3666284357926527,0.342,0.342,0.34,0.31,0.348,
2023-03-11 12:00:00,2023-03-11,12,2.0575304186948712e-14,-1.0,70,0.9304331322139882,0.3664617121589474,0.319,0.317,0.313,0.287,0.319,
2023-03-11 12:15:00,2023-03-11,12,-0.0654031292301104,-0.9978589232386056,70,0.9304987855994368,0.3662949767577678,0.311,0.31,0.315,0.291,0.321,
2023-03-11 12:30:00,2023-03-11,12,-0.1305261922200636,-0.9914448613738088,70,0.930564409105582,0.3661282295944676,0.292,0.288,0.284,0.262,0.289,
2023-03-11 12:45:00,2023-03-11,12,-0.1950903220160725,-0.9807852804032416,70,0.9306300027303166,0.3659614706744017,0.289,0.285,0.283,0.261,0.289,
2023-03-11 13:00:00,2023-03-11,13,-0.2588190451025092,-0.9659258262890714,70,0.9306955664715346,0.3657947000029243,0.29,0.286,0.269,0.245,0.277,
2023-03-11 13:15:00,2023-03-11,13,-0.3214394653031387,-0.9469301294951132,70,0.9307611003271304,0.3656279175853913,0.271,0.267,0.244,0.22,0.253,
2023-03-11 13:30:00,2023-03-11,13,-0.3826834323651089,-0.9238795325112787,70,0.9308266042949996,0.3654611234271578,0.256,0.252,0.213,0.188,0.225,
2023-03-11 13:45:00,2023-03-11,13,-0.442288690219009,-0.8968727415326845,70,0.9308920783730388,0.36529431753358,0.222,0.218,0.184,0.16,0.194,
2023-03-11 14:00:00,2023-03-11,14,-0.4999999999999478,-0.8660254037844688,70,0.930957522559146,0.3651274999100141,0.221,0.217,0.181,0.157,0.19,
2023-03-11 14:15:00,2023-03-11,14,-0.5555702330195893,-0.8314696123025539,70,0.9310229368512192,0.3649606705618166,0.233,0.229,0.199,0.177,0.209,
2023-03-11 14:30:00,2023-03-11,14,-0.6087614290086988,-0.7933533402912519,70,0.931088321247158,0.3647938294943449,0.206,0.203,0.179,0.158,0.187,
2023-03-11 14:45:00,2023-03-11,14,-0.6593458151000818,-0.7518398074789661,70,0.9311536757448632,0.3646269767129559,0.168,0.165,0.148,0.13,0.155,
2023-03-11 15:00:00,2023-03-11,15,-0.7071067811865511,-0.7071067811865439,70,0.9312190003422356,0.3644601122230081,0.117,0.115,0.106,0.0939,0.11,
2023-03-11 15:15:00,2023-03-11,15,-0.7518398074789353,-0.6593458151001168,70,0.9312842950371776,0.3642932360298595,0.091,0.0895,0.0873,0.0780999999999999,0.09,
2023-03-11 15:30:00,2023-03-11,15,-0.7933533402912236,-0.6087614290087358,70,0.9313495598275932,0.3641263481388684,0.0392999999999999,0.0387,0.0407,0.0377,0.0406,
2023-03-11 15:45:00,2023-03-11,15,-0.831469612302528,-0.555570233019628,70,0.931414794711386,0.363959448555394,0.0291,0.0287,0.0273999999999999,0.0251,0.0278,
2023-03-11 16:00:00,2023-03-11,16,-0.8660254037844455,-0.4999999999999881,70,0.9314799996864616,0.3637925372847954,0.0236,0.0232,0.0219,0.02,0.0223,
2023-03-11 16:15:00,2023-03-11,16,-0.896872741532689,-0.4422886902189998,70,0.9315451747507262,0.3636256143324327,0.0136999999999999,0.0136,0.0121999999999999,0.0111,0.0125,
2023-03-11 16:30:00,2023-03-11,16,-0.923879532511261,-0.3826834323651519,70,0.9316103199020868,0.3634586797036654,0.0136999999999999,0.0136,0.0103,0.00925,0.0107,
2023-03-11 16:45:00,2023-03-11,16,-0.9469301294950984,-0.3214394653031828,70,0.9316754351384514,0.3632917334038543,0.0113,0.0112,0.00958,0.00861,0.0104,
2023-03-11 17:00:00,2023-03-11,17,-0.9659258262890592,-0.2588190451025541,70,0.9317405204577294,0.3631247754383603,0.0124,0.0126,0.00977,0.00929,0.0097899999999999,
2023-03-11 17:15:00,2023-03-11,17,-0.9807852804032324,-0.1950903220161182,70,0.9318055758578306,0.3629578058125444,0.0129,0.0129,0.0136999999999999,0.0138,0.0135,
2023-03-11 17:30:00,2023-03-11,17,-0.9914448613738102,-0.1305261922200534,70,0.931870601336666,0.3627908245317683,0.00375,0.00399,0.00366,0.00343,0.00404,
2023-03-11 17:45:00,2023-03-11,17,-0.9978589232385988,-0.0654031292302136,70,0.9319355968921478,0.362623831601394,-0.00179,-0.00166,-0.000396,-0.000459,-0.00051,
2023-03-11 18:00:00,2023-03-11,18,-1.0,-2.5965607045106828e-14,70,0.9320005625221888,0.3624568270267833,-0.000794,-0.000546,-0.000489,-0.000359,-0.000583,
2023-03-11 18:15:00,2023-03-11,18,-0.997858923238606,0.0654031292301051,70,0.9320654982247027,0.3622898108132997,-0.000653,-0.000436,-0.000534,-0.00042,-0.000613,
2023-03-11 18:30:00,2023-03-11,18,-0.9914448613738096,0.1305261922200583,70,0.9321304039976048,0.3621227829663057,-0.00111,-0.00101,-0.000489,-0.000539,-0.00117,
2023-03-11 18:45:00,2023-03-11,18,-0.9807852804032317,0.195090322016123,70,0.9321952798388105,0.3619557434911651,-0.00129,-0.0011899999999999,-0.000569,-0.000589,-0.00129,
2023-03-11 19:00:00,2023-03-11,19,-0.965925826289058,0.2588190451025589,70,0.9322601257462364,0.3617886923932413,-0.0016899999999999,-0.00149,-0.000872,-0.000799,-0.00149,
2023-03-11 19:15:00,2023-03-11,19,-0.9469301294951152,0.3214394653031336,70,0.9323249417178008,0.361621629677899,-0.0022299999999999,-0.00198,-0.00128,-0.00128,-0.00214,
2023-03-11 19:30:00,2023-03-11,19,-0.9238795325113026,0.3826834323650514,70,0.9323897277514218,0.3614545553505024,-0.00221,-0.0019299999999999,-0.0014399999999999,-0.00127,-0.00209,
2023-03-11 19:45:00,2023-03-11,19,-0.8968727415326868,0.4422886902190042,70,0.9324544838450196,0.3612874694164161,-0.00229,-0.00198,-0.00121,-0.0011,-0.0016799999999999,
2023-03-11 20:00:00,2023-03-11,20,-0.866025403784443,0.4999999999999923,70,0.9325192099965146,0.3611203718810063,-0.00289,-0.00239,-0.00117,-0.00105,-0.00139,
2023-03-11 20:15:00,2023-03-11,20,-0.8314696123025253,0.5555702330196322,70,0.9325839062038284,0.3609532627496379,-0.00174,-0.00133,-0.00114,-0.000852,-0.0014199999999999,
2023-03-11 20:30:00,2023-03-11,20,-0.7933533402912553,0.6087614290086945,70,0.9326485724648832,0.3607861420276776,-0.00256,-0.00229,-0.00156,-0.0014399999999999,-0.00226,
2023-03-11 20:45:00,2023-03-11,20,-0.751839807479007,0.659345815100035,70,0.9327132087776028,0.3606190097204914,-0.00249,-0.00216,-0.0015,-0.00133,-0.00218,
2023-03-11 21:00:00,2023-03-11,21,-0.7071067811865477,0.7071067811865474,70,0.9327778151399118,0.3604518658334459,-0.00323,-0.00276,-0.00172,-0.00152,-0.0025099999999999,
2023-03-11 21:15:00,2023-03-11,21,-0.6593458151000782,0.7518398074789693,70,0.9328423915497354,0.3602847103719088,-0.00178,-0.0013,-0.00122,-0.000818,-0.00075,
2023-03-11 21:30:00,2023-03-11,21,-0.6087614290086949,0.7933533402912549,70,0.932906938005,0.360117543341247,-0.00265,-0.00226,-0.0015,-0.00124,-0.00189,
2023-03-11 21:45:00,2023-03-11,21,-0.5555702330196325,0.831469612302525,70,0.9329714545036332,0.3599503647468292,-0.00249,-0.00212,-0.00134,-0.0011799999999999,-0.0016699999999999,
2023-03-11 22:00:00,2023-03-11,22,-0.500000000000042,0.8660254037844144,70,0.9330359410435628,0.3597831745940232,-0.00246,-0.00202,-0.00179,-0.0015,-0.00269,
2023-03-11 22:15:00,2023-03-11,22,-0.4422886902190046,0.8968727415326867,70,0.9331003976227183,0.3596159728881976,-0.0033,-0.00279,-0.00177,-0.0016699999999999,-0.00272,
2023-03-11 22:30:00,2023-03-11,22,-0.3826834323651044,0.9238795325112809,70,0.93316482423903,0.3594487596347216,-0.00304,-0.0027,-0.00151,-0.00174,-0.00197,
2023-03-11 22:45:00,2023-03-11,22,-0.3214394653031341,0.946930129495115,70,0.9332292208904294,0.3592815348389645,-0.00198,-0.00154,-0.0014399999999999,-0.00175,-0.00162,
2023-03-11 23:00:00,2023-03-11,23,-0.2588190451025593,0.965925826289058,70,0.933293587574848,0.3591142985062963,-0.0016799999999999,-0.00138,-0.00127,-0.00124,-0.0019299999999999,
2023-03-11 23:15:00,2023-03-11,23,-0.1950903220161792,0.9807852804032204,70,0.9333579242902196,0.3589470506420867,-0.00394,-0.00357,-0.0021,-0.00215,-0.0030499999999999,
2023-03-11 23:30:00,2023-03-11,23,-0.1305261922200587,0.9914448613738096,70,0.9334222310344776,0.3587797912517064,-0.00364,-0.003,-0.00152,-0.0014299999999999,-0.00171,
2023-03-11 23:45:00,2023-03-11,23,-0.0654031292301623,0.9978589232386024,70,0.9334865078055576,0.3586125203405266,-0.00298,-0.00249,-0.00151,-0.00135,-0.00199,
2023-03-12 00:00:00,2023-03-12,0,2.5487508957543062e-14,1.0,71,0.9335507546013954,0.3584452379139181,-0.00212,-0.00164,-0.00124,-0.000952,-0.00165,
2023-03-12 00:15:00,2023-03-12,0,0.0654031292300997,0.9978589232386064,71,0.9336149714199278,0.3582779439772529,-0.00295,-0.00256,-0.0014,-0.0011899999999999,-0.0018,
2023-03-12 00:30:00,2023-03-12,0,0.1305261922200529,0.9914448613738104,71,0.9336791582590928,0.3581106385359024,-0.00309,-0.00276,-0.00186,-0.00164,-0.00276,
2023-03-12 00:45:00,2023-03-12,0,0.1950903220161177,0.9807852804032324,71,0.9337433151168296,0.3579433215952397,-0.0019399999999999,-0.0016699999999999,-0.0011899999999999,-0.00102,-0.0018,
2023-03-12 01:00:00,2023-03-12,1,0.2588190451024987,0.9659258262890742,71,0.9338074419910776,0.3577759931606369,-0.00198,-0.00152,-0.00153,-0.00117,-0.00195,
2023-03-12 01:15:00,2023-03-12,1,0.3214394653031824,0.9469301294950986,71,0.933871538879778,0.3576086532374674,-0.00378,-0.00342,-0.00225,-0.00202,-0.00327,
2023-03-12 01:30:00,2023-03-12,1,0.3826834323650464,0.9238795325113048,71,0.9339356057808724,0.3574413018311048,-0.0031,-0.00256,-0.00184,-0.00152,-0.00237,
2023-03-12 01:45:00,2023-03-12,1,0.4422886902189993,0.8968727415326893,71,0.9339996426923036,0.3572739389469225,-0.00151,-0.00114,-0.00135,-0.00109,-0.00229,
2023-03-12 02:00:00,2023-03-12,2,0.4999999999999877,0.8660254037844457,71,0.9340636496120152,0.3571065645902951,-0.0033799999999999,-0.00296,-0.0019299999999999,-0.00179,-0.00304,
2023-03-12 02:15:00,2023-03-12,2,0.5555702330195804,0.8314696123025598,71,0.9341276265379518,0.3569391787665971,-0.00393,-0.00333,-0.00204,-0.00187,-0.0033,
2023-03-12 02:30:00,2023-03-12,2,0.6087614290087353,0.793353340291224,71,0.9341915734680594,0.3567717814812031,-0.00278,-0.0023,-0.0011,-0.00108,-0.00224,
2023-03-12 02:45:00,2023-03-12,2,0.659345815100031,0.7518398074790106,71,0.9342554904002844,0.3566043727394887,-0.00275,-0.00215,-0.00103,-0.000952,-0.0023,
2023-03-12 03:00:00,2023-03-12,3,0.7071067811865436,0.7071067811865515,71,0.9343193773325742,0.3564369525468295,-0.0014,-0.00109,-0.00109,-0.000547,-0.00081,
2023-03-12 03:15:00,2023-03-12,3,0.7518398074789657,0.6593458151000822,71,0.9343832342628776,0.3562695209086017,-0.00218,-0.00176,-0.00147,-0.000791,-0.0012,
2023-03-12 03:30:00,2023-03-12,3,0.7933533402912171,0.6087614290087443,71,0.9344470611891436,0.3561020778301817,-0.00332,-0.00291,-0.00221,-0.0019,-0.00328,
2023-03-12 03:45:00,2023-03-12,3,0.8314696123025536,0.5555702330195897,71,0.9345108581093232,0.3559346233169458,-0.0033799999999999,-0.00283,-0.00176,-0.00165,-0.00283,
2023-03-12 04:00:00,2023-03-12,4,0.8660254037844117,0.5000000000000466,71,0.9345746250213676,0.3557671573742718,-0.00275,-0.00226,-0.00172,-0.0015,-0.00263,
2023-03-12 04:15:00,2023-03-12,4,0.8968727415326843,0.4422886902190094,71,0.9346383619232294,0.3555996800075367,-0.00316,-0.00258,-0.00145,-0.00136,-0.00256,
2023-03-12 04:30:00,2023-03-12,4,0.9238795325112786,0.3826834323651093,71,0.9347020688128616,0.3554321912221185,-0.00323,-0.00269,-0.00149,-0.00138,-0.00254,
